project_id,project_name,cost_per_hour
808,"Infrastructure Upgrade",7973.0820
423,"Infrastructure Upgrade",7953.2115
533,"Data Migration",7717.0784
380,"Mobile App Development",7664.3607
572,"Mobile App Development",7267.4200
3,"Data Migration",6961.7544
53,"Web Application Revamp",6871.2982
17,"Data Migration",6771.7887
812,"Data Migration",6579.4571
702,"Web Application Revamp",6559.3913
872,"Infrastructure Upgrade",6522.6667
68,"Web Application Revamp",6502.2115
382,"Infrastructure Upgrade",6490.8000
571,"Mobile App Development",6437.0000
305,"Data Migration",6376.0800
655,"Data Migration",6305.7647
755,"Web Application Revamp",5924.2750
850,"Infrastructure Upgrade",5784.3425
296,"Data Migration",5654.3962
387,"Mobile App Development",5600.8627
352,"Web Application Revamp",5427.2556
75,"Web Application Revamp",5316.1600
419,"Data Migration",5209.1860
95,"Mobile App Development",5196.5185
752,"Mobile App Development",5187.3962
786,"Web Application Revamp",5126.6739
73,"Data Migration",5054.8125
191,"Data Migration",5045.0492
503,"Data Migration",4952.5000
240,"Web Application Revamp",4917.0941
238,"Infrastructure Upgrade",4894.7604
603,"Infrastructure Upgrade",4891.2475
108,"Mobile App Development",4871.7901
495,"Infrastructure Upgrade",4743.2055
890,"Infrastructure Upgrade",4637.0488
498,"Mobile App Development",4536.0000
136,"Web Application Revamp",4503.4356
272,"Web Application Revamp",4493.1573
923,"Web Application Revamp",4436.5152
813,"Web Application Revamp",4404.6204
643,"Data Migration",4369.1818
664,"Mobile App Development",4299.4149
519,"Infrastructure Upgrade",4217.5431
472,"Data Migration",4111.7373
969,"Infrastructure Upgrade",4105.3874
512,"Mobile App Development",3999.2080
578,"Mobile App Development",3963.0288
1,"Web Application Revamp",3951.2033
552,"Mobile App Development",3825.4891
357,"Web Application Revamp",3721.4815
626,"Mobile App Development",3691.3559
435,"Mobile App Development",3684.8843
494,"Mobile App Development",3578.3143
650,"Data Migration",3572.6154
701,"Data Migration",3558.9857
594,"Infrastructure Upgrade",3516.5200
356,"Mobile App Development",3465.5524
640,"Infrastructure Upgrade",3412.5645
619,"Mobile App Development",3405.6767
115,"Web Application Revamp",3399.1549
551,"Infrastructure Upgrade",3395.2913
632,"Infrastructure Upgrade",3281.1400
488,"Mobile App Development",3260.7538
795,"Mobile App Development",3257.2283
656,"Mobile App Development",3257.0194
535,"Data Migration",3245.5753
330,"Infrastructure Upgrade",3223.5347
117,"Infrastructure Upgrade",3223.3874
530,"Infrastructure Upgrade",3218.9481
835,"Web Application Revamp",3192.5595
744,"Mobile App Development",3119.3048
559,"Infrastructure Upgrade",3053.5890
869,"Mobile App Development",3014.0127
972,"Web Application Revamp",2957.3333
116,"Data Migration",2940.5693
839,"Web Application Revamp",2935.8231
996,"Web Application Revamp",2915.6912
189,"Web Application Revamp",2802.6182
298,"Web Application Revamp",2771.3816
814,"Mobile App Development",2765.8403
99,"Web Application Revamp",2754.5954
844,"Infrastructure Upgrade",2746.1250
433,"Web Application Revamp",2715.1797
783,"Web Application Revamp",2683.0685
416,"Infrastructure Upgrade",2660.0720
517,"Web Application Revamp",2652.6477
720,"Mobile App Development",2601.8766
70,"Data Migration",2550.0833
241,"Web Application Revamp",2544.4050
149,"Data Migration",2531.6646
542,"Infrastructure Upgrade",2529.1515
858,"Web Application Revamp",2517.5878
641,"Infrastructure Upgrade",2517.5368
685,"Mobile App Development",2486.6129
397,"Infrastructure Upgrade",2470.2069
449,"Infrastructure Upgrade",2451.7907
290,"Infrastructure Upgrade",2440.2012
843,"Mobile App Development",2426.6839
880,"Mobile App Development",2410.1818
333,"Mobile App Development",2398.3018
134,"Data Migration",2396.0118
903,"Web Application Revamp",2391.7692
760,"Data Migration",2381.9355
51,"Web Application Revamp",2369.8529
385,"Infrastructure Upgrade",2362.0263
693,"Infrastructure Upgrade",2356.8797
88,"Web Application Revamp",2318.2319
753,"Data Migration",2310.6071
726,"Data Migration",2307.3258
48,"Web Application Revamp",2299.9636
453,"Mobile App Development",2297.0157
889,"Web Application Revamp",2282.9333
941,"Web Application Revamp",2255.8929
979,"Data Migration",2252.9764
84,"Web Application Revamp",2249.5455
815,"Infrastructure Upgrade",2237.6579
501,"Infrastructure Upgrade",2235.1400
728,"Mobile App Development",2233.7480
195,"Web Application Revamp",2216.1347
409,"Infrastructure Upgrade",2215.5071
285,"Data Migration",2199.2792
677,"Data Migration",2178.6406
460,"Infrastructure Upgrade",2096.2281
50,"Infrastructure Upgrade",2073.2513
983,"Web Application Revamp",2047.0125
867,"Infrastructure Upgrade",2043.1950
894,"Infrastructure Upgrade",2039.0000
585,"Web Application Revamp",2006.1500
199,"Web Application Revamp",2005.6075
304,"Web Application Revamp",1981.9130
948,"Mobile App Development",1967.6883
793,"Web Application Revamp",1957.1308
980,"Data Migration",1925.9718
526,"Web Application Revamp",1918.1514
586,"Mobile App Development",1896.3926
33,"Mobile App Development",1895.0435
679,"Web Application Revamp",1895.0244
772,"Mobile App Development",1869.8970
711,"Web Application Revamp",1867.7092
902,"Data Migration",1855.6000
500,"Data Migration",1813.0484
175,"Mobile App Development",1794.4311
101,"Web Application Revamp",1786.8466
557,"Web Application Revamp",1786.2045
589,"Mobile App Development",1770.0244
452,"Mobile App Development",1719.1705
782,"Web Application Revamp",1718.1231
516,"Mobile App Development",1708.1195
635,"Mobile App Development",1704.7816
203,"Mobile App Development",1641.4861
277,"Infrastructure Upgrade",1617.3030
548,"Web Application Revamp",1529.5490
42,"Web Application Revamp",1490.5525
787,"Infrastructure Upgrade",1458.6450
174,"Mobile App Development",1446.8405
881,"Data Migration",1426.2174
963,"Mobile App Development",1423.6596
152,"Web Application Revamp",1422.2986
723,"Infrastructure Upgrade",1409.7045
154,"Mobile App Development",1409.5392
410,"Mobile App Development",1403.7372
87,"Infrastructure Upgrade",1388.9810
398,"Infrastructure Upgrade",1376.0773
388,"Mobile App Development",1359.1171
249,"Data Migration",1341.9853
252,"Infrastructure Upgrade",1336.1560
339,"Mobile App Development",1307.7761
256,"Mobile App Development",1297.0178
123,"Mobile App Development",1285.2438
561,"Mobile App Development",1282.2316
595,"Data Migration",1262.1515
827,"Mobile App Development",1246.7175
284,"Infrastructure Upgrade",1225.5204
819,"Infrastructure Upgrade",1181.8954
378,"Infrastructure Upgrade",1177.7537
860,"Infrastructure Upgrade",1114.3120
954,"Web Application Revamp",1108.1786
658,"Mobile App Development",1088.5442
13,"Mobile App Development",1037.4948
211,"Data Migration",1027.5224
34,"Mobile App Development",1013.8099
355,"Mobile App Development",1007.9458
992,"Web Application Revamp",1004.6373
901,"Infrastructure Upgrade",989.4000
268,"Data Migration",981.5086
362,"Infrastructure Upgrade",922.9652
59,"Web Application Revamp",913.0946
598,"Web Application Revamp",897.3684
600,"Web Application Revamp",875.7083
176,"Infrastructure Upgrade",848.9867
624,"Mobile App Development",845.9104
713,"Infrastructure Upgrade",842.7234
861,"Web Application Revamp",835.8387
237,"Mobile App Development",832.3918
737,"Web Application Revamp",770.3333
186,"Infrastructure Upgrade",700.2013
961,"Web Application Revamp",678.9255
239,"Data Migration",654.1547
317,"Data Migration",640.4974
198,"Data Migration",582.0053
